"OBS","GEV","MEVD","GEV.BIAS","MEVD.BIAS","GEV.NDE","MEVD.NDE"
1.72224874752374,1.40298011950117,1.5765625,0.814621071153851,0.915409288157005,-0.185378928846149,-0.0845907118429949
1.72224874752374,1.20925635687762,1.3875,0.702138038199355,0.805632753105471,-0.297861961800645,-0.194367246894529
1.72224874752374,1.26181467509475,1.39375,0.732655301337272,0.809261729470811,-0.267344698662728,-0.190738270529189
1.72224874752374,1.50226949410743,1.36484375,0.872272078157933,0.792477713781114,-0.127727921842067,-0.207522286218886
1.72224874752374,1.29860294668468,1.366796875,0.754015904236722,0.793611768895283,-0.245984095763278,-0.206388231104717
1.72224874752374,1.17627336065239,1.471875,0.682986915997846,0.854623934037561,-0.317013084002154,-0.145376065962439
1.72224874752374,1.20910432863922,1.359765625,0.702049765097916,0.789529170484275,-0.297950234902084,-0.210470829515725
1.72224874752374,1.20326335948065,1.3041015625,0.698658286853571,0.757208599730466,-0.301341713146429,-0.242791400269534
1.72224874752374,1.32173225126467,1.44609375,0.767445616183528,0.839654406530533,-0.232554383816472,-0.160345593469467
1.72224874752374,1.54108476409185,1.460546875,0.894809629739971,0.848046414375382,-0.105190370260029,-0.151953585624618
1.72224874752374,1.16939709509305,1.22568359375,0.67899430716638,0.711676286896591,-0.32100569283362,-0.288323713103409
1.72224874752374,1.3169167240986,1.405078125,0.764649546699961,0.81583924913299,-0.235350453300039,-0.18416075086701
1.72224874752374,1.42620430058933,1.3412109375,0.828105871837583,0.778755646899672,-0.171894128162417,-0.221244353100328
1.72224874752374,1.48026563622971,1.3732421875,0.859495841328407,0.79735415077204,-0.140504158671593,-0.20264584922796
1.72224874752374,2.0303146757001,1.2759765625,1.17887423557096,0.740878206086436,0.178874235570963,-0.259121793913564
1.72224874752374,1.87733519268528,1.46875,1.09004880705213,0.852809445854891,0.0900488070521284,-0.147190554145109
1.72224874752374,2.01023881259468,1.38828125,1.16721746233522,0.806086375151139,0.167217462335224,-0.193913624848861
1.72224874752374,1.2537399703143,1.398046875,0.727966835288419,0.811756650721982,-0.272033164711582,-0.188243349278018
1.72224874752374,1.20391986226487,1.34609375,0.699039476147609,0.781590784685094,-0.300960523852391,-0.218409215314906
1.72224874752374,1.67709483110035,1.3755859375,0.973782000719515,0.798715016909042,-0.0262179992804849,-0.201284983090958
1.72224874752374,1.79650145111006,1.405859375,1.04311380902037,0.816292871178657,0.0431138090203736,-0.183707128821343
1.72224874752374,1.41231473888731,1.2740234375,0.820041089254933,0.739744150972268,-0.179958910745067,-0.260255849027732
1.37763995182145,2.1076722273301,1.503125,1.52991514549461,1.09108696943105,0.529915145494606,0.0910869694310478
1.72224874752374,1.36534313397363,1.3578125,0.792767674203117,0.788395115370106,-0.207232325796883,-0.211604884629894
1.72224874752374,1.56590268026727,1.355859375,0.909219810737986,0.787261060255938,-0.0907801892620145,-0.212738939744062
1.72224874752374,1.21938040892798,1.3609375,0.708016429497315,0.790209603552776,-0.291983570502685,-0.209790396447224
1.72224874752374,1.0780187018581,1.3435546875,0.625936702470003,0.780116513036675,-0.374063297529997,-0.219883486963325
1.72224874752374,1.42465750749797,1.375,0.827207747746281,0.798374800374791,-0.172792252253719,-0.201625199625209
1.72224874752374,1.09558208456094,1.2744140625,0.636134638585846,0.739970961995101,-0.363865361414154,-0.260029038004899
1.72224874752374,1.37899698222292,1.301171875,0.800695593017935,0.755507517059213,-0.199304406982065,-0.244492482940787
1.72224874752374,1.13452198278952,1.286328125,0.658744553840289,0.746888698191531,-0.341255446159711,-0.253111301808469
1.72224874752374,1.65084070661109,1.354296875,0.958537905157244,0.786353816164603,-0.0414620948427562,-0.213646183835397
1.37763995182145,2.64953510791161,1.45234375,1.92324206655631,1.05422592316649,0.923242066556305,0.0542259231664854
1.72224874752374,1.24868079026479,1.3876953125,0.725029292115992,0.805746158616888,-0.274970707884008,-0.194253841383112
1.72224874752374,1.87494810236218,1.4953125,1.08866277595382,0.868232595407585,0.0886627759538173,-0.131767404592414
1.72224874752374,1.06825357671196,1.33125,0.620266717132415,0.772971965817412,-0.379733282867585,-0.227028034182588
1.72224874752374,1.73859455880871,1.457421875,1.00949097005207,0.846231926192712,0.00949097005207203,-0.153768073807288
1.72224874752374,1.73843852001328,1.3748046875,1.00940036827596,0.798261394863374,0.00940036827596394,-0.201738605136626
1.72224874752374,1.26421485576828,1.4203125,0.734048933167159,0.824684879023506,-0.265951066832841,-0.175315120976494
1.37763995182145,2.52168452919853,1.46484375,1.83043800803285,1.06329941147776,0.830438008032851,0.0632994114777622
1.72224874752374,1.57390073163114,1.483203125,0.913863769036907,0.86120145369974,-0.0861362309630932,-0.13879854630026
1.37763995182145,2.37737461238084,1.393359375,1.72568646055712,1.01141040019765,0.725686460557123,0.0114104001976473
1.72224874752374,1.46895062953567,1.28095703125,0.852925938629791,0.743770046627567,-0.147074061370209,-0.256229953372433
1.72224874752374,1.38481609367334,1.336328125,0.804074379885273,0.77592050911425,-0.195925620114728,-0.22407949088575
1.72224874752374,1.2419029455092,1.369921875,0.721093829967836,0.795426257077953,-0.278906170032164,-0.204573742922047
1.72224874752374,1.72186555640465,1.4072265625,0.999777505357667,0.817086709758576,-0.000222494642333414,-0.182913290241424
1.72224874752374,1.09278778314341,1.269140625,0.63451216597755,0.736909013186846,-0.36548783402245,-0.263090986813154
1.37763995182145,2.40306986019705,1.355859375,1.74433810301438,0.984189935263816,0.744338103014382,-0.0158100647361835
1.72224874752374,1.41730649502803,1.364453125,0.822939483663926,0.79225090275828,-0.177060516336074,-0.20774909724172
